,bubble,correction,normal_growth,recovery
2024-07-31,0.14064471654823124,0.25708537921777036,0.30848499133651186,0.29378491289748676
2024-08-31,0.1961137006701489,0.2628973173499798,0.20756001861926882,0.3334289633606027
2024-09-30,0.25654424199031484,0.21697704082932634,0.23879110210114035,0.2876876150792186
2024-10-31,0.28069727096918545,0.2938529778775825,0.18346861893899974,0.2419811322142324
2024-11-30,0.11223207949865198,0.20630698934953765,0.3354661623635685,0.3459947687882421
2024-12-31,0.10605551843212642,0.22601345267928202,0.3542165729422411,0.3137144559463505
2025-01-31,0.17907038645498233,0.3125719720795629,0.21442998805847985,0.29392765340697513
2025-02-28,0.1865091176508805,0.2740474684787887,0.27386207171508437,0.26558134215524654
2025-03-31,0.38813227575929143,0.184328152730503,0.20367014875179018,0.22386942275841537
2025-04-30,0.291367846571319,0.2211472199981779,0.19041708326638798,0.29706785016411497
2025-05-31,0.2965980576118353,0.30953256657229383,0.15603366619416154,0.2378357096217094
2025-06-30,0.16147667401466584,0.3207298552791137,0.2217692907822525,0.2960241799239681
2025-07-31,0.2866821339283227,0.20525358995413356,0.2512089222303536,0.2568553538871902
2025-08-31,0.1736217389763992,0.2256009333480192,0.31741758242327955,0.283359745252302
2025-09-30,0.14850664932389834,0.3547009049475547,0.17009655711536936,0.3266958886131778
2025-10-31,0.3174362518874001,0.23025869251935127,0.1902182678022836,0.26208678779096517
2025-11-30,0.16626046109724724,0.27413687564090955,0.23518414220031314,0.32441852106153013
2025-12-31,0.26759395716218615,0.19152030563772443,0.19577296336053512,0.3451127738395544
2026-01-31,0.14354256969765056,0.3000520158560718,0.2283670055798554,0.32803840886642244
2026-02-28,0.2647762555205129,0.2800329132373866,0.1886014275137442,0.26658940372835643
2026-03-31,0.2756622788508013,0.20703101414555342,0.28970896547028524,0.22759774153336015
2026-04-30,0.30644087306736745,0.24785572591510502,0.1828875282204635,0.2628158727970642
2026-05-31,0.26368715813199894,0.14700093369213013,0.2733607126108827,0.3159511955649883
2026-06-30,0.21327598147619312,0.2788713568510169,0.18843947182570453,0.3194131898470855
2026-07-31,0.15425332087921717,0.3992001903585639,0.18653626868399836,0.2600102200782206
2026-08-31,0.2623352092507655,0.29483382307453765,0.20391547244163277,0.23891549523306405
2026-09-30,0.13237688194200756,0.19381905436941557,0.34498576033654815,0.3288183033520289
2026-10-31,0.25564279445926824,0.20332371723454995,0.2430968664853972,0.2979366218207846
2026-11-30,0.2000560559745943,0.21494672451507246,0.2366542974124723,0.3483429220978609
2026-12-31,0.22466244752461081,0.2086630118277887,0.24671364200017493,0.31996089864742566
2027-01-31,0.13227731148718846,0.2532792060893049,0.26146400215454424,0.35297948026896264
2027-02-28,0.10744199626802717,0.3363477022640126,0.23193708068661534,0.324273220781345
2027-03-31,0.25625066358686166,0.2641635615218101,0.21063384882247965,0.26895192606884877
2027-04-30,0.11978693485425049,0.2074349168210383,0.29824242341968044,0.3745357249050308
2027-05-31,0.19258398041406727,0.338007166649098,0.16958343032043738,0.29982542261639755
2027-06-30,0.15167431314298618,0.38039178971097326,0.19432188786068233,0.2736120092853583
